Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AEA1111;111;Cadre institutionnel, juridique et réglementaire - Méthodologie du stage professionnel;6;0;0;30;1;0;0
AEA1121;121;Découverte des caractéristiques des publics (anatomie, physiologie, biomécanique);6;0;0;48;1;0;0
AEA1131;131;Fonctionnement et organisation des structures - Gestion administrative, financière et logistique - Gestion des ressources humaines;6;0;0;29;1;0;0
AEA1141;141;Expression & communication écrite et orale - Outils informatiques et bureautiques - Anglais;6;0;0;30;1;0;0
AEA1151;151;Découverte théorique et pratique;5;0;0;50;1;0;0
AEA1152;152;VEP MSP : Vérification des Exigences Préalables à la Mise en Situation Pédagogique;1;0;0;7;1;0;0
AEA6151;151;Enseigner le savoir nager (7-12 ans) et les techniques de nage - niveau 1 - EN C6;2;0;0;11;1;0;0
AEA6152;152;Gérer la surveillence, l'hygiène de l'eau et de l'air sur les lieux de baignade - UE SSMA C2 et C4;2;0;0;17;1;12;1
AEA6153;153;VEP MSP : Vérification des Exigences Préalables à la Mise en Situation Pédagogique;2;0;0;11;1;6;1
AEA1211;211;Stage professionnel (150 heures minimum);7;0;0;20;1;15;2
AEA1221;221;Analyse des caractéristiques psychologiques des publics ;7;0;0;45;1;0;0
AEA1231;231;Direction et coordination d'un accueil tout public à visée d'activités physiques et culturelles (50 heures minimum sur 10 jours minimum) ;6;0;0;35;1;0;0
AEA1241;241;Expression et communication professionnelle - Master Classes - Anglais;4;6;0;35;1;0;0
AEA1251;251;Initiation théorique et pratique;6;0;0;50;1;0;0
AEA6251;251;Enseigner le savoir nager (7-12 ans) et les techniques de nage - niveau 2 - EN C6;2;0;0;10;1;0;0
AEA6252;252;Concevoir et organiser un cycle d'apprentissage à visée d'amélioration de la motricité aquatique en conditions d'éducation et d'entraînement - Niveau 1;2;0;0;13;1;6;1
AEA6253;253;Connaître des principes scientifiques de la locomotion aquatique en fonction des spécificités des activités (natation, ré-éducation, etc.);2;0;0;15;1;6;1
AEA1311;311;Anatomie, physiologie, biomécanique - Pédagogie, psychologie, sociologie - Projet pédagogique;6;0;0;40;1;0;0
AEA1321;321;Management et coordination d'équipe - Coordination pédagogique et administrative d'une structure - Marketing, sponsoring et commercialisation;6;0;0;39;1;0;0
AEA1331;331;Méthodologie de projet - Comptabilité et gestion financière;6;0;0;40;1;0;0
AEA1341;341;Expression et communication professionnelle - Outils informatiques et numériques - Anglais;6;0;0;30;1;0;0
AEA1351;351;Approfondissement théorique et pratique;6;0;0;50;1;0;0
AEA6351;351;Concevoir la sécurité sur un lieu de baignade - UE SSMA C1;3;0;0;23;1;15;1
AEA6352;352;Enseigner le savoir nager (7 - 12 ans) et les techniques de nages Niveau 3 - EN C6;3;0;0;12;1;0;0
AEA1411;411;Stage pédagogique (120 heures minimum) ;7;0;0;20;1;10;2
AEA1421;421;Projet d'animation (80 heures minimum);7;0;0;20;1;10;2
AEA1431;431;Direction et coordination d'un accueil tout public à visée d'activités physiques et culturelles (50 heures minimum sur 10 jours minimum);4;0;0;30;1;0;0
AEA1441;441;Expression et communication professionnelle - Master Classes - Anglais;3;6;0;25;1;0;0
AEA1451;451;Perfectionnement théorique et pratique;6;0;0;50;1;0;0
AEA6451;451;Enseigner le savoir nager (7 - 12 ans) et les techniques de nages Niveau 4 - EN C6;2;0;0;12;1;6;1
AEA6452;452;Concevoir et organiser un cycle d'apprentissage à visée d'amélioration de la motricité aquatique en conditions d'éducation et d'entraînement - Niveau 2;2;0;0;16;1;22;1
AEA6453;453;Porter secours à tout public en milieu aquatique - UE SSMA C3;2;0;0;9;1;15;1
