Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
2ASMU1;11;Biomécanique et neurophysiologie;;15;1;10;1;0;0
2ASMU2;12;Anatomie fonctionnelle et applications;;0;0;20;1;0;0
2ASMU3;13;Évaluation physique et bilan clinique de l'appareil locomoteur;;10;1;15;1;0;0
2ASMU4;14;Approches innovantes de la podologie;;10;1;20;1;0;0
2ASMU5;15;Formation à la recherche;;10;1;30;1;0;0
2ASMU6;16;Stage;;0;0;10;1;0;0
2ASM2U1;21;Biomécanique et neurophysiologie;;15;1;10;1;0;0
2ASM2U2;22;Anatomie fonctionnelle et applications;;0;0;20;1;0;0
2ASM2U3;23;Évaluation physique et bilan clinique de l'appareil locomoteur;;10;1;15;1;0;0
2ASM2U4;24;Approches innovantes de la podologie;;10;1;20;1;0;0
2ASM2U5;25;Formation à la recherche;;10;1;30;1;0;0
2ASM2U6;26;Stage;;0;0;10;1;0;0
