Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
ALG0311;311;Sciences de la vie appliquées aux APSA - Niveau 3;6;36;18;8;0;0
ALG0321;321;Sciences humaines et sociales appliquées aux APSA - Niveau 3;6;36;18;8;0;0
ALG0331;331;Sciences et technologies des APSA - Niveau 3;6;8;0;8;44;16
ALG034B1;341;Système éducatif et interventions en éducation et motricité;3;12;10;4;0;0
ALG034B2;342;Éduquer et former par la motricité en dehors du système éducatif ;3;12;12;4;0;0
ALG0351;351;Statistiques - Niveau 1;2;2;10;8;0;0
ALG0352;352;Anglais - Niveau 3;2;0;14;8;0;0
ALG0353;353;Préparation du stage;2;2;6;8;0;0
ALG0411;411;Stage animation;6;2;6;8;0;0
ALG0421;421;Approche scientifique d'analyse de la motricité dans les APSA;6;26;30;4;0;0
ALG0431;431;Sciences et technologies des APSA - Niveau 4 ;6;8;0;8;44;16
ALG044A1;441;Approche scientifique pluridisciplinaire de l'éducation et de la motricité;6;28;20;4;0;0
ALG0451;451;Statistiques - Niveau 2;1,5;2;10;8;0;0
ALG0452;452;Anglais - Niveau 4;1,5;0;14;8;0;0
