Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
ALI0511;511;Conception d'un événement sportif;3;0;20;2;0;0
ALI0512;512;Projet sportif et événement sportif;3;0;20;2;0;0
ALI0521;521;Communication par le sport;2;8;18;2;0;0
ALI0522;522;Comptabilité;2;8;18;2;0;0
ALI0523;523;Droit du sport;2;18;6;2;0;0
ALI0531;531;Environnement des marchés et des organisations sportives;6;40;22;2;0;0
ALI0541;541;Séminaire de créativité;3;0;20;2;0;0
ALI0542;542;Méthodologie de projet personnel et professionnel;3;0;18;2;0;0
ALI0551;551;Anglais appliqué au management du sport;3;0;20;2;0;0
ALI0552;552;Recherche en management du sport;3;10;10;2;0;0
ALI0611;611;Opérationnalisation d'un événement sportif;3;0;20;2;0;0
ALI0612;612;Analyse des pratiques et des organisations sportives;3;0;20;2;0;0
ALI0621;621;Marketing appliqué au sport;2;8;20;2;0;0
ALI0622;622;Analyse financière;2;8;18;2;0;0
ALI0623;623;Simulation de gestion et jeu d'entreprise;2;0;18;2;0;0
ALI0631;631;Méthodologie de projet personnel et professionnel;6;0;18;2;0;0
ALI0641;641;Méthodologie de la recherche en management du sport;6;8;10;2;0;0
ALI0651;651;Environnement des pratiques et des consommations sportives;4;16;12;2;0;0
ALI0652;652;Anglais appliqué au management du sport;2;0;18;2;0;0
