Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMS2111Z;111;Science de la mesure du mouvement humain - Niveau 1 ;4;8;0;0;20;4
AMS2112Z;112;Traitement des données, big data, statistiques et programmations - Niveau 1;4;0;10;2;16;4
AMS2113Z;113;Approche systémique de la motricité humaine;3;10;10;2;0;0
AMS2121;121;Ingénierie, matériaux, biomatériaux, interface homme-machine, équipements adaptés à l'utilisateur - Niveau 1;3;6;0;3;14;6
AMS2122;122;Modélisation, conception et réalisation de matériels et d'outils - Niveau 1;3;4;6;3;10;6
AMS2131;131;Analyse et adaptation des tâches, des gestes et des postures - Niveau 1;2;4;0;2;8;4
AMS2132;132;Activité physique et santé - Niveau 1;3;14;0;2;10;4
AMS2141;141;Méthodologie de la recherche et anglais scientifique - Niveau 1;4;8;18;2;8;4
AMS2151;151;Méthodologie de projet et développement durable;2;8;4;1;0;2
AMS2152;152;Intelligence économique, veille et prospective;2;4;4;1;4;2
AMS2211Z;211;Science de la mesure du mouvement humain - Niveau 2;4;8;0;2;20;4
AMS2212Z;212;Traitement des données, big data, statistiques et programmations - Niveau 2;3;4;20;2;0;4
AMS2213Z;213;Caractéristiques physiques de publics à besoins spécifiques;3;8;4;2;6;4
AMS2221Z;221;Ingénierie, matériaux, biomatériaux, interface homme-machine, équipements adaptés à l'utilisateur - Niveau 2;3;4;0;1;12;2
AMS2222Z;222;Projet d'innovation - Niveau 1 ;2;0;6;1;8;2
AMS2223Z;223;Modélisation, conception et réalisation de matériels et d'outils - Niveau 2;3;4;0;1;12;2
AMS2231;231;Analyse et adaptation des tâches, des gestes et des postures - Niveau 2;2;0;6;1;6;2
AMS2232;232;Activités physiques et développement de la performance et de la condition physique;2;6;0;1;8;2
AMS2241;241;Méthodologie de la recherche et anglais scientifique - Niveau 2;4;6;10;2;14;4
AMS2251;251;Démarche professionnelle du Sport Scientist - Niveau 1;4;8;4;1;8;2
