Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMT2111;111;Gestion de projet événementiel et de communication;3;0;22;1;0;1
AMT2112;112;Gestion de projet d'études et d'enquêtes;3;0;18;1;0;1
AMT2121;121;Gouvernance du sport;3;21;0;1;0;1
AMT2122;122;Contexte institutionnel et stratégie des organisations sportives;3;10;10;1;0;1
AMT2131;131;Planification et contrôle de gestion;2;0;0;1;14;1
AMT2132;132;Gestion Juridique et Gestion des Ressources Humaines;2;0;18;1;0;1
AMT2133;133;Statistique, traitement et analyse de données;2;0;0;1;16;1
AMT2141;141;Territoires, cultures et milieux sportifs;4;12;12;1;0;1
GMA114A2;142;Sport, santé, bien-être;2;14;0;1;0;1
AMT2151;151;Préparation au stage/mémoire et séminaires professionnels;4;2;18;1;0;1
AMT2152;152;Anglais professionnel ;2;0;16;1;0;1
AMT2211;211;Opérationnalisation de projet événementiel et de communication;3;0;17;1;0;1
AMT2212;212;Opérationnalisation de projet d'études et d'enquêtes;3;0;15;1;0;1
AMT2221;221;Planification et contrôle de gestion;2;0;0;1;16;1
AMT2222;222;Outil de communication et projet entrepreneurial;2;0;10;1;10;1
AMT2223;223;Statistique, traitement et analyse de données;2;0;0;1;14;1
AMT2231;231;Développement et marketing territorial sportif;4;14;10;2;0;1
AMT2232;232;Diagnostic et impact des évènements sportifs;2;8;10;2;0;1
AMT2241;241;Socio-économie des marchés sportifs émergents;4;15;10;2;0;1
AMT2242;242;Innovation, intelligence économique et sport;2;16;0;2;0;1
AMT2251;251;Préparation au stage/mémoire et séminaires professionnels;4;2;12;1;0;1
AMT2252;252;Anglais professionnel ;2;0;16;1;0;1
