Code Apogée;Code EC;Libellé;ECTS;Heures CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMS2311Z;311;Science de la mesure du mouvement humain - Niveau 3;3;20;20;2;20;4
AMS2312Z;312;Traitement des données, big data, statistiques et programmations - Niveau 3;3;20;20;2;10;4
AMS2313Z;313;Modélisation du mouvement et de la performance;2;10;10;2;10;4
AMS1321;321;Adaptation des équipements aux utilisateurs, interface homme-machine - Niveau 2;1;6;10;1;0;2
AMS1322;322;Projet d'innovation - Niveau 2;2;0;12;1;10;2
AMS1331Z;331;Motricité et performance dans un environnement spécifique;2;10;10;1;0;2
AMS1332Z;332;Activité physique et santé - Niveau 3;3;8;6;1;8;2
AMS1333Z;333;Apprentissage, nouvelles pratiques, nouveaux comportements - Niveau 2;3;12;12;1;0;2
AMS2341;341;Méthodologie de la recherche et anglais scientifique - Niveau 3;6;10;30;2;8;4
AMS1351Z;351;Règlementation et projet - Niveau 2;1;4;8;1;0;2
AMS1352Z;352;Management, détection, simulation et prévention de la fatigue et santé - Niveau 2;2;10;0;1;6;2
AMS1353Z;353;Démarche ergonomique : tâches, gestes et postures, environnement social - Niveau 2;2;10;4;1;6;2
AMS2411;411;Mémoire de recherche;10;20;10;2;0;4
AMS2421;421;Stage professionnel;20;20;10;2;0;4
