Code Apogée;Code EC;Libellé;ECTS;Heures CM;Groupes CM;Heures TD;Groupes TD;Heures TP;Groupes TP
AMT2311;311;Gestion de projet événementiel et de communication;3;0;1;22;1;0;1
AMT2312;312;Gestion de projet d'études et d'enquêtes;3;0;1;20;1;0;1
AMT2321;321;Régulations et dynamiques dans le sport associatif et fédéral ;3;10;1;10;1;0;1
AMT2322;322;Stratégie et management de l'innovation dans le sport;3;10;1;10;1;0;1
AMT2331;331;Gestion financière et contrôle de gestion;2;0;1;0;1;16;1
AMT2332;332;Gestion Juridique et Gestion des Ressources Humaines;2;0;1;20;1;0;1
AMT2333;333;Projet entrepreneurial;2;0;1;18;1;0;1
AMT2341;341;Economie des inégalités dans le sport : revenus, discipline, genre;6;24;1;12;1;0;1
AMT2351;351;Travaux d'Etudes et de Recherche (mémoire) et préparation stage;2;0;1;15;1;20;1
AMT2352;352;Anglais professionnel;2;0;1;18;1;0;1
GMA1361;353;Conférences en économie du sport / Investissement associatif / Préparation au stage ou au mémoire;2;21;0;8;1;0;1
AMT2411;411;Cultures et milieux sportifs à dimension internationale;3;9;1;6;1;0;1
AMT2412;412;Sport et transition écologique;3;10;1;10;1;0;1
AMT2421;421;Les modèles d'organisation du sport : impact économique et utilité sociale;4;15;1;15;1;0;1
AMT2422;422;Développement sportif et management stratégique;2;8;1;4;1;0;1
AMT2431;431;Opérationnalisation de projet événementiel et de communication;3;0;1;14;1;0;1
AMT2432;432;Opérationnalisation de projet d'études et d'enquêtes;3;0;1;15;1;0;1
AMT2441;441;Travaux d'Etudes et de Recherche (mémoire);6;0;1;10;1;0;1
AMT2442;442;Stage professionnel et partage d'expérience;6;0;1;14;1;30;1
